,county,state,avg_household,total_pop,pop_dens(/sqmi),nchs_code_2013
0,orange,california,3.02,3164182,1541.02666980495,1
1,san francisco,california,2.36,870044,7168.19047136798,1
2,denver,colorado,2.31,693417,1746.53366714867,1
3,middlesex,new jersey,2.8,826698,1032.24836604565,2
4,district of,district of columbia,2.29,684498,4322.95256868476,1
5,nassau,new york,3.0,1356564,1840.44398406769,2
6,pinellas,florida,2.31,957875,1351.00989532327,1
7,dupage,illinois,2.69,931743,1097.70680051702,2
8,baltimore,maryland,2.48,614700,2932.04076142432,1
9,essex,new jersey,2.73,793555,2430.06238473315,2
10,suffolk,massachusetts,2.41,791766,5248.51983296846,1
11,ramsey,minnesota,2.52,541493,1373.48668948003,1
12,st. louis,missouri,2.14,311273,1946.48852152518,1
13,bergen,new jersey,2.72,929999,1542.51463078774,2
14,hudson,new jersey,2.59,668631,5589.05694996684,1
15,passaic,new jersey,3.03,504041,1046.23333809151,2
16,bronx,new york,2.79,1437872,13202.5153048954,1
17,new york,new york,2.07,1632480,27819.8048012476,1
18,queens,new york,2.91,2298513,8158.43715313306,1
19,cuyahoga,ohio,2.27,1253783,1058.84554179091,1
20,philadelphia,pennsylvania,2.57,1575522,4531.77182152852,1
21,arlington,virginia,2.18,231803,3442.63585463294,1
22,fairfax,virginia,2.88,1143529,1129.20580464924,2
23,alexandria,virginia,2.21,156505,4046.49321287735,1
24,fairfax,virginia,2.72,23865,1476.54520471141,2
25,falls church,virginia,2.66,14067,2654.0182424841,2
26,fredericksburg,virginia,2.44,28469,1051.79082452251,2
27,hampton,virginia,2.44,135583,1018.34027202183,2
28,manassas,virginia,3.25,41457,1625.07006808854,2
29,manassas park,virginia,3.49,16423,2511.65404110499,2
30,newport news,virginia,2.47,180145,1006.30368020134,2
31,norfolk,virginia,2.49,245592,1779.83490362982,1
32,portsmouth,virginia,2.52,95311,1105.07804527461,2
33,richmond,virginia,2.37,223787,1442.14668748179,1
34,milwaukee,wisconsin,2.44,954209,1525.65896177732,1
